Name,Street Address,Type,Reviews,No of Reviews,Comments,Price_Range,State,ZipCode,City,weighted_ratings
Betty Lou's Seafood and Grill,318 Columbus Ave," Seafood, Vegetarian Friendly, Vegan Options",4.5,243,,$$ - $$$,CA,94133-3908,San Francisco,1093.5
Coach House Diner,55 State Rt 4," Diner, American, Vegetarian Friendly",4.0,84,"Both times we were there very late, after 11 PM.  At that time in many diners (forget restaurants!) you get warmed-over food and lousy service.  Not so here - food was uniformly very good and the service quite good.  There weren't many people but it...More",$$ - $$$,NJ,07601-6337,Hackensack,336.0
Table Talk Diner,2521 South Rd Ste C," American, Diner, Vegetarian Friendly",4.0,256,"Waitress was very friendly but a little pricey for a diner but the food was delicious 
The menu had a wide variety of foods to choose from but any choice would have been a good one",$$ - $$$,NY,12601-5476,Poughkeepsie,1024.0
Sixty Vines,3701 Dallas Pkwy," American, Wine Bar, Vegetarian Friendly",4.5,235,"Not sure why I went there for the second time. Will not go again. Not because it was terrible but because it is just average.  
The place needs a food clean .... our menus were filthy...the table was filthy 
It is impossible to have a...More",$$ - $$$,TX,75093-7777,Plano,1057.5
The Clam Bar,3914 Brewerton Rd," American, Bar, Seafood",4.0,285,Doesn't look like much from the outside but walk in either the front door or back door and get greeted and sat almost immediately. Waitress was amazing and very helpful with the very large variety that they offer. My wife and I were very satisfied...More,$$ - $$$,NY,13212,Syracuse,1140.0
E Tutto Qua,270 Columbus Ave," Seafood, Italian, Pizza",4.5,1406,,$$ - $$$,CA,94133-4518,San Francisco,6327.0
Black Angus Steakhouse - Federal Way,2400 S 320th St," American, Steakhouse, Bar",4.0,220,This is an easy any time place to have dinner!  From week night to a special occasion.  The food is reasonably priced and always delicious!,$$ - $$$,WA,98003-5465,Federal Way,880.0
Ziziki's,11663 Preston Rd," Mediterranean, Greek, Healthy",4.5,89,"My husband and I went to Greece last fall and fell in love with the beauty and the food so while on a  Dallas business trip, we came across Ziziki's and thought we'd give it a go knowing that this was risky after 2 weeks...More",$$ - $$$,TX,75230-2704,Dallas,400.5
Vince's Italian Restaurant & Pizzeria,2815 NE Sunset Blvd," Italian, Pizza, Vegetarian Friendly",4.0,90,I love Vince's pizza and I was in the neighborhood after a meeting. I had a small pizza and salad.  Both were delicious and as I would expect. The service was friendly and attentive. The delivery was as quick as one can expect for a...More,$$ - $$$,WA,98056-3105,Renton,360.0
John Thomas Steakhouse,1152 Danby Rd," American, Steakhouse, Gluten Free Options",4.0,258,"The ambience, food and service were all excellent. With a student at Cornell we look forward to more dinners there!",$$$$,NY,14850-8927,Ithaca,1032.0
ZaZa's Cucina,622 Cascadilla St," Italian, Vegetarian Friendly, Gluten Free Options",4.0,271,"Nice big dining area.  Holds many people, so never feels crowded.  Food and cocktails are really good.",$$ - $$$,NY,14850-4049,Ithaca,1084.0
Dulin's Cafe,1929 Main St," Cafe, American, Vegetarian Friendly",4.5,87,This is the place if you're into the combo of excellent and sincerely unpretentious.  I'm not usually a breakfast lover - but I'll be back here to try their corned beef on potatoes and a few other treats.,$$ - $$$,WA,98660-2608,Vancouver,391.5
Wilde Rover Irish Pub & Restaurant,111 Central Way," Irish, Bar, Pub",4.0,118,"Have been here before. This time it was disappointing. Beer variety and selection as always good but food wasn´t worth the price-
Fish and meet portion in general small and all close to well-done.
Service personal wasn´t committed. Once we finished the dinner plates were...More",$$ - $$$,WA,98033-6107,Kirkland,472.0
New World Bistro Bar,300 Delaware Ave," American, Bar, Vegetarian Friendly",4.5,706,"Came with a group of eight people, and had a wonderful evening.  The food was a wide variety, and very high quality.  Service was excellent.  The flatbread deluxe hamburger was a unique burger, and extremely tasty.  The spicy grilled green bean appetizer platter was outstanding....More",$$ - $$$,NY,12209-1627,Albany,3177.0
Red Eye Cafe,94 Walnut St," American, Cafe, Healthy",4.5,104,"My first time in this part of Montclair. Since I arrived at 12.15 pm, there was never ending influx of customers for a good 2 hours.  As busy as this restaurant is, we were not rushed and we fully enjoyed our food while enjoying our...More",$$ - $$$,NJ,07042-3881,Montclair,468.0
Winberies Princeton,One Palmer Square," American, Bar, Pub",4.0,314,We brought our family here for dinner on a Saturday. It was busy but the staff was very attentive and our food did not take too long. The tiger tots were amazing!  The rest of our food was good as well. A little noisy and...More,$$ - $$$,NJ,08542-3718,Princeton,1256.0
Malbec,1001 E Green St," Steakhouse, Latin, Argentinean",4.5,193,,$$$$,CA,91106-2404,Pasadena,868.5
Din Tai Fung,700 Bellevue Way NE," Chinese, Asian, Taiwanese",4.5,1198,"Din Tai Fung has always been inconstantly great.  The dumplings, noodles, and rice dishes are sublime and the service is fast and friendly. 

While everything is great and fresh ]make sure you do not forget your vegetables as the greens here are a work of...More",$$ - $$$,WA,98004-5046,Bellevue,5391.0
Ravenous,21 Phila St," Belgian, French, Cafe",4.5,280,"The food and service were very good, but the size of the portions relative to price were a little disappointing.  They did nicely accommodate our large family gathering, which was nice!  The poutine was outstanding!More",$$ - $$$,NY,12866-3104,Saratoga Springs,1260.0
Mimi's Cafe,1400 S Harbor Blvd," American, Cajun & Creole, Vegetarian Friendly",4.0,1807,,$$ - $$$,CA,92802-2311,Anaheim,7228.0
La Hacienda Ranch,4110 Preston Rd," Steakhouse, Mexican, Vegetarian Friendly",4.0,642,Food always great and the margaritas are THE BEST. Wait staff are always courteous and friendly. Best TexMex in town.,$$ - $$$,TX,75034-8508,Frisco,2568.0
Breadsticks Cafe & Grill,1133 Boardwalk," American, Vegetarian Friendly, Vegan Options",4.0,928,"We dined for lunch (group of four) and all ordered the 3-course offering for $18.99
Excellent value and the quality was exceptional. Food was fresh,
 hot and adequately portioned.No disappointment.

Better than the food(which is hard to do)was our attentive pleasant server Eden. She truly...More",$$ - $$$,NJ,08401-7329,Atlantic City,3712.0
Revolve True Food & Wine Bar,10024 Main St," Bar, Contemporary, Fusion",4.0,30,"Took my fiancé here for Valentine’s Day. She discovered a while back that she has a gluten allergy which has really limited what she can eat. I on the other hand, was very skeptical. Long story short, the food was delicious and I left very...More",$$ - $$$,WA,98011-3464,Bothell,120.0
The Lion's Share,629 Kettner Blvd," American, Bar, Gluten Free Options",4.5,179,,$$ - $$$,CA,92101-6718,San Diego,805.5
Tilikum Place Cafe,407 Cedar St," American, European, Vegetarian Friendly",4.5,746,"One of our favorite brunch place in Seattle. Came back for the second time while we were in town. Food is absolutely lovely but the baked potatoes were a bit too dry for my taste. Overall, great place for brunch.",$$ - $$$,WA,98121-1519,Seattle,3357.0
BV Tuscany Italian Restaurant,368 Cedar Ln," Italian, Vegetarian Friendly, Gluten Free Options",4.5,119,"BV Tuscany is in a great location with shops and a local movie theater. We always find street parking close by. The food is delicious so fresh, excellent quality. The service is always on point so friendly too! Its very romantic inside. The desserts are...More",$$ - $$$,NJ,07666-3411,Teaneck,535.5
The Misfit Restaurant & Bar,225 Santa Monica Blvd," American, Bar, Contemporary",4.5,829,,$$ - $$$,CA,90401-2207,Santa Monica,3730.5
Beso,11 Schuyler St," Latin, Spanish, Vegetarian Friendly",4.5,515,This place is horrible!!!!!  They dont know how to treat customers especially when they are at fault.  This place is ran by idiots and the owner should be ashamed of who he has representing him. I was a loyal customer for 4 years and after...More,$$ - $$$,NY,10301-1952,Staten Island,2317.5
Social 37,2 Route 37 W Unit B2," American, Bar, Gastropub",4.0,123,Went recently on a saturday night for a birthday celebration. We do like the atmosphere. it's loud but we didn't mind. the menu is very eclectic and appealing. problem is most everything just left the little bit to be desired. mainly not enough in the...More,$$ - $$$,NJ,08753-6588,Toms River,492.0
Ristorante Paradiso,120 Park Ln," Italian, Vegetarian Friendly, Gluten Free Options",4.5,189,We live part time in Italy and are tough critics of many Italian restaurants in the US.  Paradise surprised us with two excellent dishes that would have been very good in Italy.  The pasta with cream sauce and sausage was super.  Very rich and creamy...More,$$ - $$$,WA,98033-3717,Kirkland,850.5
Tabernilla,7124 Bob Bullock Loop," Spanish, Mediterranean, Wine Bar",5.0,39,"Unique tapas menu - NOT a Mexican restaurant! My waiter made excellent recommendations and of course, the small portions or “tapas”, made it ideal to try several. 

Everything I ordered was de-lish!

Classy, relaxing ambiance.",$$ - $$$,TX,78041-2080,Laredo,195.0
Buddakan,1 Atlantic Ocean," Chinese, Asian, Vegetarian Friendly",4.5,742,I can't tell you enough of how amazing the food here is. The edamam ravioli are to die for. There is not one dish I didn't like. This is my favorite part of visiting Atlantic City,$$$$,NJ,08401-6689,Atlantic City,3339.0
Hodel's Country Dining,5917 Knudsen Dr," American, Vegetarian Friendly, Vegan Options",4.0,264,,$$ - $$$,CA,93308-2946,Bakersfield,1056.0
Magic Castle,7001 Franklin Ave," American, Vegetarian Friendly",4.5,399,,$$$$,CA,90028-8600,Los Angeles,1795.5
Jorge's Mexican Restaurant,6051 South Bell Street," Mexican, Southwestern, Vegetarian Friendly",4.0,111,Decent service.  Nothing to write home about.  Got the fajitas and the meat was way over seasoned and the beef was super chewy. The tortillas were the only good thing of that meal.  My sister got the stuffed avocado meal and was not good.  It...More,$$ - $$$,TX,79109-6618,Amarillo,444.0
Ziziki's at The Star,6765 Winning Dr," Mediterranean, Greek, Italian",4.5,24,"Great staff, super atmosphere and superb staff! If you like Greek food, this place is a must!  Compared to the other restaurants at The Star, it is actually not overcrowded.  Well worth a visit!",$$ - $$$,TX,75034-8162,Frisco,108.0
